,imdbid,title,year,imdb_rating,estimated budget,world gross,id,year_y,bechdel_rating
989,0053604,The Apartment,1960,8.3,"$3,000,000 (estimated)","$18,778,738",1995.0,1960.0,3.0
990,0054215,Psycho,1960,8.5,"$806,947 (estimated)","$32,052,925",2039.0,1960.0,3.0
991,0053804,Exodus,1960,6.7,"$806,947 (estimated)","$32,052,925",2144.0,1960.0,3.0
992,0054022,Let's Make Love,1960,6.4,"$806,947 (estimated)","$32,052,925",2546.0,1960.0,2.0
1008,0054167,Peeping Tom,1960,7.6,"£135,000 (estimated)","$24,640",6796.0,1960.0,2.0
1011,0054389,Shoot the Piano Player,1960,7.4,"FRF 890,063 (estimated)","$21,124",8367.0,1960.0,2.0
1016,0054387,The Time Machine,1960,7.5,"$750,000 (estimated)","$5,902",9338.0,1960.0,0.0
1027,0054698,Breakfast at Tiffany's,1961,7.6,"$2,500,000 (estimated)","$527,412",1191.0,1961.0,2.0
1028,0055207,Mysterious Island,1961,6.7,"$2,500,000 (estimated)","$527,412",1257.0,1961.0,0.0
1029,0055571,Underworld U.S.A.,1961,7.3,"$2,500,000 (estimated)","$527,412",1165.0,1961.0,3.0
1030,0055254,One Hundred and One Dalmatians,1961,7.3,"$4,000,000 (estimated)","$215,880,014",1171.0,1961.0,3.0
